epoch,cls-3conv-A40,cls-3conv-learningpc,cls-3conv-V100,cls-resnet50-A40,cls-resnet50-learningpc,cls-resnet50-V100,seg-UNet-V100-3GPUs,seg-UNet-V100,seg-UNet-learningpc,seg-UNet-A40-3GPUs,seg-UNet-A40
48,33.73712659,45.75976229,32.02727199,37.90156555,41.83179069,40.05054045,16.46265602,56.77010679,49.10789752,19.54015112,44.98432827
49,34.2733233,45.67784643,32.19513464,37.28266263,41.78290319,40.39707947,16.41638923,56.81443834,49.21351218,19.2577548,44.96191525
50,34.84368801,45.80423546,31.66960788,37.67341471,41.94980812,41.29621458,16.39916706,56.79917407,49.06909752,19.31952882,44.92229366
51,33.82534766,45.89498019,31.30223703,37.94629788,41.83734155,41.16697717,16.47766376,56.71649551,48.99597383,19.34840584,44.84103155
52,34.3160882,45.95997334,32.22179127,36.94112849,41.74863505,40.79476595,16.35393381,56.74052167,48.9259429,19.20131564,44.81294632
53,34.60003185,45.80104637,31.82425904,37.36453176,41.69750452,40.82387042,16.44075012,56.77849793,49.01011777,19.2686913,44.86381769
54,33.60635543,45.7307539,32.55647326,38.34247613,41.83311987,40.40772295,16.4211235,56.74648476,48.97487593,19.28496051,44.78139138
55,34.09210324,45.72177696,31.88665223,37.86788845,41.88471651,39.80136204,16.36736131,56.76277208,48.97383952,19.30059624,44.76793218
56,33.53609729,45.53502774,32.11311817,37.59833121,41.79947519,40.32571936,16.39266396,56.73403502,49.3177917,19.2823813,44.88278842
57,34.15431857,45.73051572,31.93074942,37.61945009,41.63613439,40.18951607,16.44186807,56.70206213,49.44299388,19.30243039,44.79698038
58,34.092592,45.74536848,32.11213756,38.40499687,41.68480039,40.27081919,16.33483195,56.70926237,49.19979882,19.22375417,44.82780552
59,34.33229518,45.51255012,32.14006448,38.41412854,41.75958395,40.13153076,16.42686915,56.77957106,48.98444986,19.23880291,44.89284587
60,34.06479836,45.67832494,31.57235813,37.81578994,41.87653136,40.67314053,16.36164331,56.70510483,49.06903386,19.18230104,44.79908752
61,33.58229017,45.68644571,31.37807083,37.9488585,41.6974318,40.68615317,,,,,
62,33.99762487,45.59827971,31.71348262,38.06435347,41.83657765,40.42533922,,,,,
63,34.15677524,45.71157861,31.12051296,37.69197464,41.70569968,40.55535984,,,,,
64,33.99168777,45.55651402,31.2407546,38.83804178,42.11452961,40.62756658,,,,,
